Date,Temp_Max ,Temp_Min,Temp_Avg,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth,,,
6/1/19,94,66,80,6,0,15,0,0,0,,,
6/2/19,92,65,78.5,4.3,0,14,0.23,0,0,,,
6/3/19,91,66,78.5,4,0,14,0,0,0,,,
6/4/19,98,70,84,9.3,0,19,0,0,0,,,
6/5/19,101,73,87,12.1,0,22,0,0,0,,,
6/6/19,95,70,82.5,7.4,0,18,0,0,0,,,
6/7/19,84,62,73,-2.3,0,8,0,0,0,,,
6/8/19,86,58,72,-3.6,0,7,0,0,0,,,
6/9/19,100,63,81.5,5.7,0,17,0,0,0,,,
6/10/19,104,71,87.5,11.4,0,23,0,0,0,,,
6/11/19,105,74,89.5,13.2,0,25,0,0,0,,,
6/12/19,108,74,91,14.4,0,26,0,0,0,,,
6/13/19,99,75,87,10.2,0,22,0,0,0,,,
6/14/19,96,70,83,5.9,0,18,0,0,0,,,
6/15/19,97,68,82.5,5.2,0,18,0,0,0,,,
6/16/19,94,65,79.5,1.9,0,15,0,0,0,,,
6/17/19,98,71,84.5,6.6,0,20,0,0,0,,,
6/18/19,100,75,87.5,9.4,0,23,0,0,0,,,
6/19/19,103,78,90.5,12.1,0,26,0,0,0,,,
6/20/19,96,69,82.5,3.8,0,18,0,0,0,,,
6/21/19,88,65,76.5,-2.4,0,12,0,0,0,,,
6/22/19,93,67,80,0.8,0,15,0,0,0,,,
6/23/19,98,69,83.5,4,0,19,0,0,0,,,
6/24/19,100,72,86,6.2,0,21,0,0,0,,,
6/25/19,98,69,83.5,3.5,0,19,0,0,0,,,
6/26/19,90,68,79,-1.3,0,14,0,0,0,,,
6/27/19,84,60,72,-8.6,0,7,0,0,0,,,
6/28/19,89,61,75,-5.8,0,10,0,0,0,,,
6/29/19,92,64,78,-3.1,0,13,0,0,0,,,
6/30/19,96,66,81,-0.4,0,16,0,0,0,,,
7/1/19,93,65,79,-2.6,0,14,0,0,0,,,
7/2/19,93,66,79.5,-2.3,0,15,0,0,0,,,
7/3/19,92,65,78.5,-3.6,0,14,0,0,0,,,
7/4/19,93,66,79.5,-2.8,0,15,0,0,0,,,
7/5/19,96,70,83,0.5,0,18,0,0,0,,,
7/6/19,100,71,85.5,2.8,0,21,0,0,0,,,
7/7/19,95,71,83,0.1,0,18,0,0,0,,,
7/8/19,92,66,79,-4.1,0,14,0,0,0,,,
7/9/19,93,64,78.5,-4.8,0,14,0,0,0,,,
7/10/19,94,66,80,-3.5,0,15,0,0,0,,,
7/11/19,96,70,83,-0.7,0,18,0,0,0,,,
7/12/19,99,71,85,1.2,0,20,0,0,0,,,
7/13/19,102,74,88,4.1,0,23,0,0,0,,,
7/14/19,104,75,89.5,5.4,0,25,0,0,0,,,
7/15/19,99,72,85.5,1.3,0,21,0,0,0,,,
7/16/19,97,72,84.5,0.2,0,20,0,0,0,,,
7/17/19,99,69,84,-0.4,0,19,0,0,0,,,
7/18/19,100,72,86,1.6,0,21,0,0,0,,,
7/19/19,97,69,83,-1.5,0,18,0,0,0,,,
7/20/19,96,71,83.5,-1.1,0,19,0,0,0,,,
7/21/19,99,71,85,0.4,0,20,0,0,0,,,
7/22/19,103,75,89,4.4,0,24,0,0,0,,,
7/23/19,99,79,89,4.4,0,24,0,0,0,,,
5/1/19,79,59,69,2.3,0,4,0,0,0,,,
5/2/19,83,55,69,2,0,4,0,0,0,,,
5/3/19,86,57,71.5,4.2,0,7,0,0,0,,,
5/4/19,89,56,72.5,4.9,0,8,0,0,0,,,
5/5/19,83,56,69.5,1.6,0,5,0,0,0,,,
5/6/19,77,59,68,-0.1,0,3,0,0,0,,,
5/7/19,81,55,68,-0.4,0,3,0,0,0,,,
5/8/19,84,58,71,2.3,0,6,0,0,0,,,
5/9/19,83,61,72,3.1,0,7,0.01,0,0,,,
5/10/19,75,59,67,-2.2,0,2,0.31,0,0,,,
5/11/19,83,61,72,2.6,0,7,0,0,0,,,
5/12/19,89,62,75.5,5.8,0,11,0,0,0,,,
5/13/19,87,62,74.5,4.6,0,10,0,0,0,,,
5/14/19,88,60,74,3.8,0,9,0,0,0,,,
5/15/19,82,66,74,3.6,0,9,0,0,0,,,
5/16/19,69,54,61.5,-9.1,3,0,0.24,0,0,,,
5/17/19,70,50,60,-10.9,5,0,0,0,0,,,
5/18/19,74,51,62.5,-8.6,2,0,0.52,0,0,,,
5/19/19,69,53,61,-10.3,4,0,0.33,0,0,,,
5/20/19,69,52,60.5,-11,4,0,0,0,0,,,
5/21/19,70,50,60,-11.7,5,0,T,0,0,,,
5/22/19,66,52,59,-13,6,0,T,0,0,,,
5/23/19,77,58,67.5,-4.7,0,3,0.07,0,0,,,
5/24/19,80,57,68.5,-3.9,0,4,0,0,0,,,
5/25/19,85,55,70,-2.6,0,5,0,0,0,,,
5/26/19,69,51,60,-12.8,5,0,0.09,0,0,,,
5/27/19,68,49,58.5,-14.5,6,0,0,0,0,,,
5/28/19,75,59,67,-6.2,0,2,0,0,0,,,
5/29/19,85,58,71.5,-1.9,0,7,0,0,0,,,
5/30/19,91,62,76.5,2.9,0,12,0,0,0,,,
5/31/19,88,62,75,1.2,0,10,0,0,0,,,
4/1/19,82,52,67,7.5,0,2,0,0,0,,,
4/2/19,77,57,67,7.4,0,2,0.01,0,0,,,
4/3/19,74,55,64.5,4.7,0,0,0,0,0,,,
4/4/19,69,53,61,1,4,0,0,0,0,,,
4/5/19,69,53,61,0.9,4,0,0,0,0,,,
4/6/19,76,49,62.5,2.2,2,0,0,0,0,,,
4/7/19,78,52,65,4.5,0,0,0,0,0,,,
4/8/19,83,60,71.5,10.8,0,7,0,0,0,,,
4/9/19,73,54,63.5,2.6,1,0,T,0,0,,,
4/10/19,71,45,58,-3.1,7,0,0,0,0,,,
4/11/19,72,49,60.5,-0.8,4,0,0,0,0,,,
4/12/19,71,50,60.5,-1,4,0,0,0,0,,,
4/13/19,82,48,65,3.2,0,0,0,0,0,,,
4/14/19,84,54,69,7,0,4,0,0,0,,,
4/15/19,79,52,65.5,3.2,0,1,T,0,0,,,
4/16/19,70,53,61.5,-1,3,0,0.04,0,0,,,
4/17/19,78,50,64,1.2,1,0,0,0,0,,,
4/18/19,90,54,72,9,0,7,0,0,0,,,
4/19/19,92,62,77,13.7,0,12,0,0,0,,,
4/20/19,79,56,67.5,3.9,0,3,0,0,0,,,
4/21/19,72,48,60,-3.8,5,0,0,0,0,,,
