STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
72295303183,"MOJAVE AIRPORT, CA US",35.06667,-118.15,849.5,7/10/19,38.3,24,0,,21,,95,*,66.2,*,15,,0,I,9999.9,0,999.9,,919.4,24,80.2,24,10,24,6,24
74612093104,"CHINA LAKE NAF, CA US",35.6875,-117.6931,679.7,7/10/19,36.3,11,0,,15.9,,102,*,71.6,*,12,,0,I,9999.9,0,999.9,,936,11,91.2,11,10,11,7.1,11
72381023114,"EDWARDS AFB, CA US",34.9,-117.86667,704.4,7/10/19,40.6,24,0,,24.1,,98.4, ,60.6, ,18.1,,0,I,1014.3,24,999.9,,934.8,24,79,24,50.8,24,8.3,24
74917100479,"TEHACHAPI MUNICIPAL AIRPORT, CA US",35.1349,-118.4393,1219.5,7/10/19,41.4,24,0,,19,,82.4,*,51.8,*,15,,0,I,9999.9,0,999.9,,882.4,24,68.1,24,10,24,6.9,24
72384023155,"BAKERSFIELD AIRPORT, CA US",35.4344,-119.0542,149,7/10/19,47.9,24,0,,999.9,,93.9, ,64, ,11.1,,0,G,1015.2,24,999.9,,998,24,80,24,10,24,5.2,24
72295303183,"MOJAVE AIRPORT, CA US",35.06667,-118.15,849.5,7/9/19,35.2,24,0,,28.9,,89.6,*,68,*,26,,0,I,9999.9,0,999.9,,917.1,24,77.9,24,10,24,12.8,24
72381023114,"EDWARDS AFB, CA US",34.9,-117.86667,704.4,7/9/19,40.5,23,0,,29.9,,93.2,*,63.9,*,24.1,,0,I,1012.3,22,999.9,,932.8,23,76.6,23,44.8,23,11.9,23
74917100479,"TEHACHAPI MUNICIPAL AIRPORT, CA US",35.1349,-118.4393,1219.5,7/9/19,37,24,0,,20,,80.6,*,53.6,*,15.9,,0,I,9999.9,0,999.9,,880.3,24,66.9,24,10,24,9.3,24
72384023155,"BAKERSFIELD AIRPORT, CA US",35.4344,-119.0542,149,7/9/19,46,24,0,,999.9,,93, ,64, ,11.1,,0,G,1013.6,24,999.9,,996.3,24,78.7,24,10,24,5,24
72295303183,"MOJAVE AIRPORT, CA US",35.06667,-118.15,849.5,7/8/19,38.5,24,0,,29.9,,87.8,*,69.8,*,22.9,,0,I,9999.9,0,999.9,,915.1,24,78.7,24,10,24,13.8,24
72381023114,"EDWARDS AFB, CA US",34.9,-117.86667,704.4,7/8/19,44.5,23,0,,29.9,,92.3, ,61.5, ,22.9,,0,I,1010.1,23,999.9,,930.7,23,75.2,23,36.1,23,15.9,23
74917100479,"TEHACHAPI MUNICIPAL AIRPORT, CA US",35.1349,-118.4393,1219.5,7/8/19,38.7,24,0,,22.9,,77,*,57.2,*,17.1,,0,I,9999.9,0,999.9,,878.5,24,67.9,24,10,24,12.1,24
72384023155,"BAKERSFIELD AIRPORT, CA US",35.4344,-119.0542,149,7/8/19,44.3,24,0,,999.9,,95, ,66, ,13,,0,G,1011.3,24,999.9,,994.1,24,79.9,24,9.8,24,6.4,24
72295303183,"MOJAVE AIRPORT, CA US",35.06667,-118.15,849.5,7/7/19,39,24,0,,38.1,,93.2,*,71.6,*,24.1,,0,I,9999.9,0,999.9,,915.6,24,82.3,24,10,24,15.2,24
72381023114,"EDWARDS AFB, CA US",34.9,-117.86667,704.4,7/7/19,40.9,24,0,,28.9,,97.5, ,63.5, ,22.9,,0,I,1010,24,999.9,,931,24,79.5,24,10,24,15.3,24
